DateTime,BidOpen,BidHigh,BidLow,BidClose,AskOpen,AskHigh,AskLow,AskClose
02:00.0,1.29287,1.29298,1.29284,1.29293,1.29302,1.29312,1.29299,1.29304
03:00.0,1.29293,1.29296,1.2929,1.2929,1.29304,1.29307,1.29303,1.29303
04:00.0,1.2929,1.29292,1.2929,1.29292,1.29303,1.29304,1.29303,1.29304
05:00.0,1.29292,1.29292,1.2929,1.29292,1.29304,1.29304,1.29299,1.29302
09:00.0,1.29292,1.29293,1.29292,1.29293,1.29302,1.29305,1.29302,1.29305
10:00.0,1.29293,1.29293,1.29292,1.29292,1.29305,1.29305,1.29303,1.29303
11:00.0,1.29292,1.29292,1.29287,1.29287,1.29303,1.29303,1.29297,1.29297
12:00.0,1.29287,1.29289,1.29287,1.29287,1.29297,1.29299,1.29297,1.29299
13:00.0,1.29287,1.2929,1.29278,1.29288,1.29299,1.29299,1.29288,1.29293
14:00.0,1.29288,1.2929,1.29286,1.2929,1.29293,1.29303,1.29293,1.29303
15:00.0,1.2929,1.29291,1.2929,1.29291,1.29303,1.29305,1.29303,1.29305
25:00.0,1.29291,1.29291,1.29276,1.29285,1.29305,1.29305,1.29292,1.29292
26:00.0,1.29285,1.29286,1.29257,1.29261,1.29292,1.29292,1.29274,1.29275
27:00.0,1.29261,1.29287,1.29261,1.29285,1.29275,1.29288,1.29275,1.29288
28:00.0,1.29285,1.29296,1.2926,1.29296,1.29288,1.29288,1.29278,1.29286
29:00.0,1.29296,1.29312,1.29288,1.29311,1.29286,1.2934,1.29286,1.2934
30:00.0,1.29311,1.29319,1.29257,1.29313,1.2934,1.29344,1.29279,1.29342
31:00.0,1.29313,1.29325,1.29311,1.29313,1.29342,1.29348,1.2934,1.29342
32:00.0,1.29313,1.29313,1.29312,1.29312,1.29342,1.29342,1.29342,1.29342
33:00.0,1.29312,1.29312,1.29296,1.29308,1.29342,1.29349,1.29325,1.29325
34:00.0,1.29308,1.29309,1.29303,1.29309,1.29325,1.29334,1.29325,1.29334
35:00.0,1.29309,1.29309,1.29303,1.29304,1.29334,1.29334,1.29333,1.29334
36:00.0,1.29304,1.29309,1.29302,1.29303,1.29334,1.29334,1.29332,1.29332
37:00.0,1.29303,1.29313,1.29303,1.29313,1.29332,1.29334,1.29332,1.29334
38:00.0,1.29313,1.29313,1.29308,1.2931,1.29334,1.29334,1.29334,1.29334
39:00.0,1.2931,1.29311,1.29303,1.29308,1.29334,1.29334,1.29334,1.29334
40:00.0,1.29308,1.29308,1.29302,1.29305,1.29334,1.29334,1.29331,1.29334
41:00.0,1.29305,1.29307,1.29303,1.29303,1.29334,1.29334,1.29329,1.29329
42:00.0,1.29303,1.29307,1.29298,1.29303,1.29329,1.29334,1.29327,1.29329
43:00.0,1.29303,1.29307,1.29303,1.29307,1.29329,1.29334,1.29329,1.29334
44:00.0,1.29307,1.29308,1.29301,1.29307,1.29334,1.29334,1.29331,1.29334
45:00.0,1.29307,1.29317,1.29301,1.29316,1.29334,1.29345,1.29331,1.29345
46:00.0,1.29316,1.29321,1.29313,1.29318,1.29345,1.29345,1.2934,1.29343
47:00.0,1.29318,1.29321,1.2931,1.29317,1.29343,1.29345,1.29334,1.29344
48:00.0,1.29317,1.29321,1.29317,1.29317,1.29344,1.29346,1.29344,1.29346
49:00.0,1.29317,1.29321,1.29317,1.29321,1.29346,1.29348,1.29345,1.29346
50:00.0,1.29321,1.29323,1.29317,1.29317,1.29346,1.29348,1.29343,1.29343
51:00.0,1.29317,1.29329,1.29317,1.29328,1.29343,1.29343,1.29336,1.29342
52:00.0,1.29328,1.29328,1.29318,1.29318,1.29342,1.29353,1.29342,1.29353
